id,deadline,content
thhs,2.6.24,Theo Hausaufgabenblatt
dwths,2.6.24,DWT Haufaufgabenblatt
grnvspr,2.6.24,Programmierhausaufgabe GRNVS
sempap,-,Seminararbeit Paper lesen / Video schauen
